id,name,type
aab,Akbar Al-Baker,b
abaak,Ali bin Ahmed Al-Kuwari,b
AJ,Al Jazeera,a
AL,Al Udeid US-Stützpunkt,e
AN,Al Nusra,a
ASR,AS Roma,a
B,Barclays,a
bbmbsat,Bandar bin Mohammed bin Saoud Al-Thani ,b
CH,China,c
CA,Cariton,a
CHEC,China Harboring Engineering Company,a
CL,Concorde Lafayette ,a
CP,ConocoPhillips,a
CPC,Chevron Philipps Chemical,a
CR,China Railway Construction Corp,a
CS,Credit Suisse,a
D,Deutschland,c
DB,Deutsche Bank ,a
dt,Donald Trump,b
e,Tamim bin Hamad Al-Thani ,b
er,Erdogan,b
EX,ExxonMobil,a
F,Frankreich ,c
FCB,FC Bayern München,a
FO,Formel 1,d
G,Glencore,a
GR,The group of 77,a
GB,Großbritannien,c
GCC,Gulf Cooperation Council,a
GRA,Global Risk Advisors,a
H,Harrods,a
HA,Hamas,a
HAA,Hydro Aluminium AS,a
HAH,Heathrow Airport Holdings,a
hbaat,Hassan bin Abdulla Al Thawadi,b
HBK,HBK Contracting ,a
hbkat,Hamad Bin Khalifa Al Thani,b
HDL,Hotel du Louvre,a
HL,Hapag-Lloyd,a
HLA,Hotel Lambrecht ,a
HWM,Handball-WM 2015,d
I,Iran,c
ICAO,International Cicil Aviation,a
ID,Indien,c
IHK,Invest Hong Kong,a
ITA,Italien,c
J,Japan,c
K,Katar,c
L,Lagardere,a
LSE,London Stock Exchange ,a
LWM,Leichtathletik-WM 2019,d
M,Martinez,a
mbaat,Mohammed bin Abdulrahman Al-thani,b
mbhbkat,Mohammed bin Hamad Bin Khalifa Al Thani,b
mbhbqaaat,Mohammed bin Hamad bin Qassim Al-Abdullah Al-Thani,b
mbn,Moza bin Nasser,b
meam,Mansoor Ebrahim Al-Mahmoud,b
MUS,Muslimbruderschaft,a
N,Norwegen ,c
NAM,The Non-Aligned Movement,a
nbgak,Nasser bin Ghanim Al-Khelaifi,b
OECD,Organization for economic Cooperation and Development,a
OIC,Organization of Islamic Cooperation,a
OPEC,Organization of the Petroleum Exporting Countries,a
P,Pulkowo,a
PA,Pakistan,c
PE,Peninsula,a
PF,Petrochemie-Fabrik,a
PO,Porsche,a
POL,Polen,c
PSG,Paris Saint-Germain,a
PT,Printemps,a
Q,Al Quaida,a
QA,Qatar Airways,a
QAE,Qatar Energy,a
QAL,Qatar Aluminium,a
QC,Qatar Charity,a
QE,Qatar Exchange,a
QF,Qatar Foundation,a
QFCA,Qatar Financial Centre Authority,a
QIA,Qatar Investment Authority,a
QNB,Qatar National Bank,a
QT,QTerminals,a
R,Raffles,a
RU,Russland,c
RWE,RWE,a
S,Sainsbury,a
sbsak,Saad bin Sherida Al-Kaabi,b
SCH,Schweiz ,c
SI,Siemens,a
SIN,Sinopec,a
SK,Südkorea,c
T,Türkei,c
TA,Taiwan,c
TAL,Taliban,a
TC,Tiffany & CO,a
TE,Total Energies,a
UN,United Nations,a
UNESCO,"United Nations Educational, Scientific and Cultural Organization",a
USA,USA,c
V,Volkswagen,a
VE,Veolia,a
VFL,VFL Wolfsburg,a
VI,Vinci,a
VIV,Vivendi,a
WM,Weltmeisterschaft Fußball 2022,d
WTO,World Trade Organization,a